UK,Max Temp,7.77,WIN,1990
UK,Max Temp,12.84,SPR,2009
UK,Max Temp,19.91,SUM,1975
UK,Max Temp,13.60,AUT,2009
UK,Max Temp,8.1,JAN,1975
UK,Max Temp,8.3,FEB,1943
UK,Max Temp,10.7,MAR,1997
UK,Max Temp,12.9,APR,2015
UK,Max Temp,16.3,MAY,1940
UK,Max Temp,19.0,JUN,1957
UK,Max Temp,21.3,JUL,1955
UK,Max Temp,20.6,AUG,1983
UK,Max Temp,17.8,SEP,2005
UK,Max Temp,14.3,OCT,2017
UK,Max Temp,10.2,NOV,1913
UK,Max Temp,8.4,DEC,1942
UK,Max Temp,7.74,WIN,1949
UK,Max Temp,12.78,SPR,1943
UK,Max Temp,19.73,SUM,2013
UK,Max Temp,13.59,AUT,2015
UK,Max Temp,7.9,JAN,2002
UK,Max Temp,8.2,FEB,1920
UK,Max Temp,10.6,MAR,1990
UK,Max Temp,12.9,APR,1987
UK,Max Temp,16.2,MAY,1960
UK,Max Temp,19.0,JUN,1933
UK,Max Temp,21.2,JUL,2014
UK,Max Temp,20.6,AUG,1933
UK,Max Temp,17.7,SEP,1991
UK,Max Temp,14.3,OCT,2014
UK,Max Temp,10.1,NOV,2002
UK,Max Temp,8.4,DEC,1924
UK,Max Temp,7.70,WIN,1943
UK,Max Temp,12.61,SPR,1959
UK,Max Temp,19.73,SUM,1955
UK,Max Temp,13.58,AUT,2001
UK,Max Temp,7.9,JAN,1974
UK,Max Temp,8.1,FEB,2011
UK,Max Temp,10.6,MAR,1933
UK,Max Temp,12.9,APR,1944
UK,Max Temp,16.2,MAY,1952
UK,Max Temp,18.6,JUN,2014
UK,Max Temp,20.9,JUL,1933
UK,Max Temp,20.5,AUG,1990
UK,Max Temp,17.6,SEP,1971
UK,Max Temp,14.1,OCT,2013
UK,Max Temp,10.1,NOV,1953
UK,Max Temp,8.3,DEC,1994
UK,Max Temp,7.62,WIN,1935
UK,Max Temp,12.60,SPR,1997
UK,Max Temp,19.56,SUM,1949
UK,Max Temp,13.51,AUT,1945
UK,Max Temp,7.9,JAN,1944
UK,Max Temp,8.1,FEB,2007
UK,Max Temp,10.5,MAR,2014
UK,Max Temp,12.8,APR,1952
UK,Max Temp,16.2,MAY,1947
UK,Max Temp,18.6,JUN,1949
UK,Max Temp,20.7,JUL,1994
UK,Max Temp,20.2,AUG,1959
UK,Max Temp,17.6,SEP,1947
UK,Max Temp,14.1,OCT,1971
UK,Max Temp,10.1,NOV,1939
UK,Max Temp,8.2,DEC,2006
UK,Max Temp,7.57,WIN,2002
UK,Max Temp,12.52,SPR,1952
UK,Max Temp,19.55,SUM,1989
UK,Max Temp,13.46,AUT,2003
UK,Max Temp,7.8,JAN,1993
UK,Max Temp,8.1,FEB,2000
UK,Max Temp,10.3,MAR,1950
UK,Max Temp,12.7,APR,2010
UK,Max Temp,16.1,MAY,1918
UK,Max Temp,18.6,JUN,1930
UK,Max Temp,20.5,JUL,1999
UK,Max Temp,20.1,AUG,1991
UK,Max Temp,17.5,SEP,2011
UK,Max Temp,14.0,OCT,1978
UK,Max Temp,10.0,NOV,2009
UK,Max Temp,8.2,DEC,1918
UK,Max Temp,7.56,WIN,1995
UK,Max Temp,12.48,SPR,2002
UK,Max Temp,19.52,SUM,1959
UK,Max Temp,13.46,AUT,1947
UK,Max Temp,7.7,JAN,1923
UK,Max Temp,8.1,FEB,1989
UK,Max Temp,10.1,MAR,2007
UK,Max Temp,12.7,APR,1955
UK,Max Temp,15.9,MAY,1998
UK,Max Temp,18.5,JUN,2005
UK,Max Temp,20.4,JUL,2003
UK,Max Temp,20.0,AUG,2004
UK,Max Temp,17.5,SEP,1958
UK,Max Temp,14.0,OCT,1949
UK,Max Temp,10.0,NOV,2001
UK,Max Temp,8.2,DEC,1912
UK,Max Temp,7.55,WIN,2005
UK,Max Temp,12.45,SPR,2012
UK,Max Temp,19.46,SUM,1984
UK,Max Temp,13.45,AUT,2007
UK,Max Temp,7.5,JAN,2012
UK,Max Temp,8.1,FEB,1926
UK,Max Temp,10.1,MAR,2002
UK,Max Temp,12.7,APR,1949
UK,Max Temp,15.8,MAY,2016
UK,Max Temp,18.5,JUN,1925
UK,Max Temp,20.4,JUL,1949
UK,Max Temp,20.0,AUG,1944
UK,Max Temp,17.5,SEP,1941
UK,Max Temp,13.9,OCT,2007
UK,Max Temp,10.0,NOV,1951
UK,Max Temp,8.1,DEC,1954
UK,Max Temp,7.45,WIN,2012
UK,Max Temp,12.45,SPR,1961
UK,Max Temp,19.35,SUM,1934
UK,Max Temp,13.45,AUT,1978
UK,Max Temp,7.5,JAN,1957
UK,Max Temp,8.0,FEB,1928
UK,Max Temp,10.0,MAR,1991
UK,Max Temp,12.6,APR,2002
UK,Max Temp,15.8,MAY,1964
UK,Max Temp,18.4,JUN,2017
UK,Max Temp,20.3,JUL,1984
UK,Max Temp,20.0,AUG,1935
UK,Max Temp,17.4,SEP,1961
UK,Max Temp,13.9,OCT,1968
UK,Max Temp,9.9,NOV,2007
